Nom,Adresse,Prestations,Tel,Website,page
 McDonald's Paris Porte de Vincennes ," 111 cours de Vincennes, 75020 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 43 67 40 44 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-porte-de-vincennes?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
   McDonald's Paris Crimée ," 87 av Flandres, 75019 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 40 36 28 04 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-crimee?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Gambetta ," 7 pl Gambetta, 75020 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 46 36 00 66 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-gambetta?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Provence ," 96 r Provence, 75009 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 42 81 28 19 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-provence,1
 McDonald's Paris Place d'Italie ," 211 bd Vincent Auriol, 75013 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 45 85 98 18 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-place-d-italie?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Rue Saint Lazare ," 119 r Saint Lazare, 75008 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 45 22 56 73 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-rue-saint-lazare?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris La Fourche ," 57 av Clichy, 75017 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 45 22 02 11 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-la-fourche?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Porte de Bagnolet ," pl Porte Bagnolet, 75020 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 43 64 00 00 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-porte-de-bagnolet?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 Cocktail Cocktail ," 41 r Broca, 75005 PARIS"," Prestations : buffet chaud, buffet déjeunatoire, cocktail dînatoire, banquet, traiteur pour anniversaire, brunch, location de salle, plateau repas, plateau repas bio, buffet dinatoire, buffet froid, buffet de mariage, buffet de desserts, cocktail déjeunatoire, cuisine bio, cocktail apéritif, organisation de mariage", 01 41 38 08 34 ,null http://www.macamande.com http://www.cocktailcocktail.com,1
 McDonald's Paris Bonne Nouvelle ," 2 bd Poissonnière, 75009 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 40 22 98 85 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-bonne-nouvelle?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Avenue de Choisy ," 9 av Choisy, 75013 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 53 79 26 87 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-avenue-de-choisy?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Place de Clichy ," 10 pl Clichy, 75009 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 48 74 17 00 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-place-de-clichy?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Aquaboulevard ," 4 r Louis Armand, 75015 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 53 98 91 26 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-aquaboulevard?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Montparnasse Gare Aréas ," 11 bd Vaugirard, 75015 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 42 22 20 96 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-montparnasse-gare-areas?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 McDonald's Paris Rue de Belleville ," 1 av Simon Bolivar, 75019 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 42 06 89 62 ,https://www.restaurants.mcdonalds.fr/mcdonalds-paris-rue-de-belleville?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
 La Boutique Jaune ," 27 r Rosiers, 75004 PARIS"," Prestations : boulangerie-pâtisserie,, traiteur,, sur place ou à emporter,, livraison possible (sous conditions),, contrôles et analyses suivis par un laboratoire indépendant,", 01 42 72 78 91 ,http://www.laboutiquejaune.fr,1
 McDonald's Paris Olympiades ," 84 r Nationale, 75013 PARIS"," Prestations : Les Menus, Les Sandwichs, Les Salades, Les Boissons, Les Desserts, Commande en ligne, McDrive, Vente à emporter, L'offre Happy Meal, L'Happy anniversaire, L'offre McCafé, Climatisation, Wifi, Accès handicapés, Facilités bébés, Fast Food, Hamburger, Burger", 01 44 23 88 00 ,https://www.restaurants.mcdonalds.fr/mcdonalds-olympiades?http://ad.doubleclick.net/ddm/clk/289142331;116118309;y?,1
